cell_id,area,perimeter,centroid_x,centroid_y,major_axis_length,minor_axis_length,eccentricity,orientation,solidity,extent,mean_intensity,aspect_ratio,circularity,mean_red,mean_green,mean_blue,chlorophyll_content,is_outlier,quality_score
1,176.0,53.35533905932738,109.9659090909091,16.295454545454547,17.491436176780564,13.412945183297408,0.6418511316322445,1.3021791383572625,0.8934010152284264,0.6175438596491228,0.5317959001782531,1.3040712479404761,0.7769029377530735,0.40933600713012475,0.6126559714795009,0.07168003565062388,0.3721479500891266,False,1.0
2,56.0,27.213203435596427,858.7857142857143,23.125,9.381609283220778,7.773627519247764,0.559836972159562,-0.14171579869354325,0.9333333333333333,0.6222222222222222,0.5326330532212884,1.2068508875583617,0.9502514794490807,0.46176470588235297,0.6533613445378151,0.14908963585434176,0.3479341736694678,False,1.0
3,177.0,55.59797974644666,131.62146892655366,65.05084745762711,17.052251043484564,14.492344099132051,0.5269784435739818,-1.5117849081419477,0.855072463768116,0.5822368421052632,0.49533621358147784,1.176638569652748,0.7195568441793022,0.2421180901739227,0.45324027916251247,0.009083859532513571,0.32763930430929433,False,1.0
4,58.0,27.79898987322333,1096.0344827586207,93.48275862068965,11.087902820120236,6.782340826005954,0.7910988431134336,0.4787083601872946,0.9354838709677419,0.5858585858585859,0.4600405679513184,1.6348194654649324,0.9431479539433782,0.5003380662609872,0.7020960108181203,0.12515212981744422,0.38935091277890466,False,1.0
5,51.0,25.79898987322333,456.98039215686276,114.6078431372549,9.65393696009957,6.907047605877794,0.698649255769887,1.5459049145739936,0.9444444444444444,0.5795454545454546,0.4547481737793156,1.3976937031543373,0.9628854762011981,0.36516724336793543,0.5965397923875433,0.010226835832372164,0.40884275278738946,False,1.0
6,88.0,34.62741699796952,109.31818181818181,194.39772727272728,13.234942228096815,8.704963346480433,0.75325741555663,-0.15070145055413986,0.9263157894736842,0.6285714285714286,0.474108734402852,1.5203903435439536,0.9222578113162709,0.5163547237076649,0.7135918003565063,0.013859180035650624,0.4484848484848485,False,1.0
7,47.0,24.970562748477143,21.48936170212766,235.68085106382978,10.500539314158278,5.777868325520586,0.8350033157891719,1.135541833913117,0.94,0.5875,0.4673341677096368,1.817372550635005,0.9472204421921142,0.167459324155194,0.39007092198581556,0.008760951188986232,0.3019607843137254,False,1.0
8,79.0,33.21320343559643,113.30379746835443,260.62025316455697,13.486958395644589,7.86203632319941,0.8125179276245262,1.167287792157963,0.9294117647058824,0.6076923076923076,0.47724000992802185,1.7154535827686959,0.8999438720551808,0.43891784561926034,0.6304790270538595,0.006353933978654753,0.40784313725490196,False,1.0
9,54.0,24.970562748477143,998.3703703703703,259.64814814814815,8.619002684737977,8.07718474679052,0.34896215427165644,-1.5063242323290293,0.9642857142857143,0.6666666666666666,0.5241103848946987,1.0670800463604535,1.0882958271994503,0.5161946259985475,0.692084241103849,0.12839506172839507,0.36978939724037774,False,1.0
10,107.0,43.11269837220809,640.9906542056075,295.4299065420561,19.721116050453226,7.175204251131636,0.9314639693400788,0.9100480962482006,0.9224137931034483,0.47767857142857145,0.5260032985156678,2.7485093570483126,0.7234078719711582,0.4108851017042331,0.6259849734286238,0.009895547003848268,0.4155946490745831,False,1.0
11,51.0,24.97056274847714,594.2941176470588,310.0,9.776270943564278,6.719976968104999,0.7263014659971371,0.20480096560418098,0.9807692307692307,0.6623376623376623,0.5361783929257978,1.4548072077355745,1.0278349479105922,0.44159938485198,0.6518262206843521,0.032833525567089586,0.4146097654748173,False,1.0
13,61.0,28.384776310850235,601.7049180327868,339.44262295081967,11.183683254716847,7.038817708841854,0.7770954320159015,0.7917175718219801,0.9242424242424242,0.61,0.5162327225972355,1.588858200544079,0.951412267442496,0.4043715846994535,0.6176149148183864,0.014400514304082289,0.4082288653166185,False,1.0
14,74.0,32.21320343559643,966.1351351351351,358.85135135135135,12.415744929131519,7.767798026596158,0.7801111745119208,-0.5265533098573483,0.925,0.5692307692307692,0.4614732379438263,1.5983609345451117,0.8961356467409625,0.4040805511393747,0.6110227874933757,0.010704822469528353,0.40363010068892413,False,1.0
15,155.0,53.59797974644667,235.7225806451613,375.8838709677419,19.654282084940547,11.198103428143346,0.8218153801366159,-0.3603832225100533,0.8469945355191257,0.5166666666666667,0.46406072106261864,1.7551438235508245,0.6780234610970043,0.2593801391524352,0.49302972802024037,0.007666034155597723,0.3595066413662239,False,1.0
